@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute varObjetivo numeric

@data
-0.844209,0.1,-0.785128
-0.8452,0.2,-0.796651
-0.844486,0.3,-0.743047
-0.84165,0.4,-0.748948
-0.840715,0.5,-0.705364
-0.838417,0.6,0
-0.839632,0.7,-0.553475
-0.835456,0.8,-0.463172
-0.831908,0.9,0
-0.817344,-1,-0.98512
-0.859644,-0.9,-0.991368
-0.858696,-0.8,-0.983252
-0.854118,-0.7,-0.942328
-0.849402,-0.6,-0.973605
-0.847802,-0.5,-0.94671
-0.847084,-0.4,-0.938376
-0.842829,-0.3,-0.950899
-0.839591,-0.2,-0.92805
-0.837539,-0.1,-0.861025
-0.836687,0,-0.838749
-0.835987,0.1,-0.806583
-0.835296,0.2,-0.775528
-0.835083,0.3,-0.741531
-0.830613,0.4,-0.649221
-0.830717,0.5,-0.685019
-0.828321,0.6,-0.417357
-0.829388,0.7,-0.441107
-0.824315,0.8,-0.611228
-0.816808,0.9,-0.397049
-0.805015,-1,-0.966534
-0.851725,-0.9,-0.984582
-0.847421,-0.8,-0.981929
-0.842765,-0.7,-0.971301
-0.839033,-0.6,-0.997443
-0.841612,-0.5,-0.995922
-0.833073,-0.4,-0.925491
-0.830809,-0.3,-0.891721
-0.829567,-0.2,-0.882399
-0.827806,-0.1,-0.850287
-0.826579,0,-0.827277
-0.826967,0.1,-0.801109
-0.82728,0.2,-0.767516
-0.82305,0.3,-0.730317
-0.82416,0.4,-0.698337
-0.821936,0.5,-0.666783
-0.821986,0.6,-0.563412
-0.817375,0.7,-0.631639
-0.81447,0.8,0
-0.810641,0.9,-0.487852
-0.795315,-1,-0.978303
-0.840104,-0.9,-0.975227
-0.837747,-0.8,-0.978001
-0.831807,-0.7,-0.995599
-0.830245,-0.6,-0.946784
-0.827257,-0.5,-0.99766
-0.822489,-0.4,-0.986149
-0.826222,-0.3,-0.904217
-0.822247,-0.2,-0.906099
-0.821198,-0.1,-0.872769
-0.818396,0,-0.818794
-0.820107,0.1,-0.763803
-0.817079,0.2,-0.750939
-0.813157,0.3,-0.717491
-0.816005,0.4,-0.578129
-0.811356,0.5,-0.659399
-0.808304,0.6,-0.51158
-0.808148,0.7,-0.629798
-0.805622,0.8,-0.318197
-0.797361,0.9,-0.421378
-0.785523,-1,-0.970875
-0.832849,-0.9,-0.977937
-0.827126,-0.8,-0.979768
-0.825691,-0.7,-0.998909
-0.820325,-0.6,-0.946697
-0.818116,-0.5,-0.978053
-0.815056,-0.4,-0.977021
-0.815048,-0.3,-0.899227
-0.809785,-0.2,-0.860875
-0.812144,-0.1,-0.841011
-0.807462,0,-0.80717
-0.805956,0.1,-0.776008
-0.805283,0.2,-0.65867
-0.805302,0.3,-0.70344
-0.802228,0.4,-0.58729
-0.801495,0.5,-0.640076
-0.799391,0.6,-0.620535
-0.796631,0.7,-0.466767
-0.795026,0.8,-0.310311
-0.783451,0.9,-0.3724
-0.771772,-1,-0.974726
-0.82245,-0.9,-0.986516
-0.825272,-0.8,-0.996495
-0.810283,-0.7,-0.94086
-0.810833,-0.6,-0.982884
-0.809108,-0.5,-0.920949
-0.806029,-0.4,-0.978031
-0.800806,-0.3,-0.930791
-0.801578,-0.2,-0.858237
-0.800795,-0.1,-0.843178
-0.79908,0,-0.800668
-0.796096,0.1,-0.765647
-0.795819,0.2,-0.682833
-0.793017,0.3,-0.706264
-0.794487,0.4,-0.646831
-0.790224,0.5,-0.637852
-0.78957,0.6,-0.622714
-0.784789,0.7,0
-0.780235,0.8,-0.443643
-0.775847,0.9,-0.423923
-0.765881,-1,-0.97193
-0.811656,-0.9,-0.977724
-0.808936,-0.8,-0.970115
-0.806551,-0.7,-0.991942
-0.799198,-0.6,-0.938231
-0.797863,-0.5,-0.902337
-0.794589,-0.4,-0.892708
-0.793783,-0.3,-0.913933
-0.789335,-0.2,-0.903008
-0.789726,-0.1,-0.834793
-0.789109,0,-0.789748
-0.784757,0.1,-0.726527
-0.786326,0.2,-0.723519
-0.783424,0.3,-0.584648
-0.780523,0.4,-0.639907
-0.779458,0.5,-0.604029
-0.775386,0.6,-0.561479
-0.773838,0.7,-0.520204
-0.769826,0.8,-0.473417
-0.767639,0.9,0
-0.748463,-1,-0.96682
-0.800986,-0.9,-0.998976
-0.796827,-0.8,-0.961124
-0.793296,-0.7,-0.948122
-0.791183,-0.6,-0.925516
-0.788608,-0.5,-0.956175
-0.785421,-0.4,-0.896234
-0.783598,-0.3,-0.855755
-0.781679,-0.2,-0.916879
-0.777821,-0.1,-0.819428
-0.775487,0,-0.77374
-0.77608,0.1,-0.750462
-0.774445,0.2,-0.706682
-0.770238,0.3,-0.604818
-0.772034,0.4,-0.641077
-0.767249,0.5,0
-0.766693,0.6,-0.521237
-0.765029,0.7,-0.572037
-0.761189,0.8,-0.463397
-0.758952,0.9,0
-0.743021,-1,-0.990919
-0.79685,-0.9,-0.971408
-0.789468,-0.8,-0.961986
-0.782951,-0.7,-0.943907
-0.778837,-0.6,-0.935191
-0.774543,-0.5,-0.91051
-0.773985,-0.4,-0.916272
-0.771173,-0.3,-0.895145
-0.766868,-0.2,-0.826691
-0.766876,-0.1,-0.835184
-0.766838,0,-0.767213
-0.764937,0.1,-0.714951
-0.761869,0.2,-0.699626
-0.760768,0.3,-0.681124
-0.758256,0.4,-0.584421
-0.758656,0.5,-0.619864
-0.755718,0.6,-0.553292
-0.745154,0.7,0
-0.747907,0.8,-0.496473
-0.746732,0.9,0
-0.728659,-1,-0.95262
-0.782781,-0.9,-0.997289
-0.776394,-0.8,-0.988409
-0.771811,-0.7,-0.92539
-0.765297,-0.6,-0.909376
-0.765958,-0.5,-0.895716
-0.764831,-0.4,-0.913391
-0.76089,-0.3,-0.918508
-0.759059,-0.2,-0.814551
-0.754196,-0.1,-0.78737
-0.755957,0,-0.756493
-0.753157,0.1,-0.723441
-0.752589,0.2,-0.681799
-0.748279,0.3,-0.596929
-0.745872,0.4,-0.607717
-0.748086,0.5,-0.565531
-0.740704,0.6,-0.331376
-0.741951,0.7,0
-0.733662,0.8,0
-0.730183,0.9,-0.442916
-0.718078,-1,-0.930595
-0.770109,-0.9,-0.960415
-0.766087,-0.8,-0.999062
-0.759385,-0.7,-0.992919
-0.763285,-0.6,-0.936981
-0.754683,-0.5,-0.901446
-0.751133,-0.4,-0.916148
