@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute controlVar3 numeric
@attribute varObjetivo numeric

@data
0,-0.708386,0.2,0.6,-0.650998
0,-0.718288,0.2,0.8,-0.671156
0,-0.726498,0.2,1,-0.675637
0,-0.709909,0.4,-1,-0.78559
0,-0.838901,0.4,-0.8,-0.885841
0,-0.844894,0.4,-0.6,-0.994591
0,-0.925803,0.4,-0.4,-0.972763
0,-0.836949,0.4,-0.2,-0.859865
0,-0.78759,0.4,0,-0.790196
0,-0.766128,0.4,0.2,-0.748393
0,-0.747964,0.4,0.4,-0.685471
0,-0.45266,0.4,0.6,0
0,-0.567137,0.4,0.8,-0.360186
0,-0.626754,0.4,1,-0.446148
0,-0.625888,0.6,-1,-0.797976
0,-0.906671,0.6,-0.8,-0.970566
0,-0.941581,0.6,-0.6,-0.688585
0,-0.969593,0.6,-0.4,-0.999622
0,-0.857075,0.6,-0.2,-0.887962
0,-0.798436,0.6,0,-0.799462
0,-0.766847,0.6,0.2,-0.750025
0,-0.748977,0.6,0.4,-0.507013
0,-0.610568,0.6,0.6,-0.44281
0,-0.649348,0.6,0.8,-0.518039
0,-0.681234,0.6,1,-0.583268
0,-0.667903,0.8,-1,-0.80485
0,-0.886814,0.8,-0.8,-0.941408
0,-0.839751,0.8,-0.6,-0.883107
0,-0.819506,0.8,-0.4,-0.850248
0,-0.806891,0.8,-0.2,-0.9082
0,-0.84471,0.8,0,-0.84745
0,-0.766386,0.8,0.2,-0.739776
0,-0.740443,0.8,0.4,-0.694022
0,-0.721892,0.8,0.6,-0.648608
0,-0.691257,0.8,0.8,-0.611413
0,-0.687075,0.8,1,0
0,-0.669444,1,-1,-0.763929
0,-0.871315,1,-0.8,-0.935157
0,-0.999552,1,-0.6,-0.934385
0,-0.896118,1,-0.4,-0.940446
0,-0.824991,1,-0.2,-0.867874
0,-0.809724,1,0,-0.811814
0,-0.765195,1,0.2,-0.743081
0,-0.740182,1,0.4,-0.692376
0,-0.71737,1,0.6,0
0,-0.347631,1,0.8,0
0,-0.448192,1,1,0
0,0,0,-1,-0.398642
0,-0.637494,0,-0.8,-0.638598
0,-0.640951,0,-0.6,-0.639835
0,-0.637952,0,-0.4,-0.636105
0,-0.636198,0,-0.2,-0.633827
0,-0.638764,0,0,-0.636926
0,-0.640101,0,0.2,-0.637205
0,-0.640398,0,0.4,-0.63669
0,-0.640684,0,0.6,-0.640878
0,-0.643345,0,0.8,-0.640899
0,-0.649656,0,1,-0.650159
0,-0.641929,0.2,-1,-0.710235
0,-0.697845,0.2,-0.8,-0.72823
0,-0.670925,0.2,-0.6,-0.687077
0,-0.65705,0.2,-0.4,-0.666025
0,-0.652059,0.2,-0.2,-0.669013
0,-0.649584,0.2,0,-0.65164
0,-0.639332,0.2,0.2,-0.622702
0,-0.627719,0.2,0.4,-0.611236
0,-0.626181,0.2,0.6,-0.607728
0,-0.619149,0.2,0.8,-0.591003
0,-0.615395,0.2,1,-0.585041
0,-0.602957,0.4,-1,-0.644277
0,-0.70633,0.4,-0.8,-0.749175
0,-0.886393,0.4,-0.6,-0.961346
0,-0.743589,0.4,-0.4,-0.800977
0,-0.693292,0.4,-0.2,-0.711617
0,-0.657198,0.4,0,-0.658695
0,-0.643957,0.4,0.2,-0.61747
0,-0.632114,0.4,0.4,-0.580962
0,-0.627063,0.4,0.6,-0.524755
0,0,0.4,0.8,0
0,-0.497474,0.4,1,0
0,-0.547365,0.6,-1,-0.642144
0,-0.767357,0.6,-0.8,-0.94806
0,-0.95523,0.6,-0.6,-0.99987
0,-0.783632,0.6,-0.4,-0.967151
0,-0.835467,0.6,-0.2,-0.879255
0,-0.688644,0.6,0,-0.691855
0,-0.641777,0.6,0.2,-0.61747
0,-0.613201,0.6,0.4,-0.573366
0,-0.604997,0.6,0.6,-0.554133
0,-0.591323,0.6,0.8,-0.525085
0,-0.577759,0.6,1,0
0,0,0.8,-1,-0.478116
0,-0.874835,0.8,-0.8,-0.960408
0,-0.764748,0.8,-0.6,-0.825761
0,-0.705109,0.8,-0.4,-0.748093
0,-0.690115,0.8,-0.2,-0.710645
0,-0.663936,0.8,0,-0.664999
0,-0.642354,0.8,0.2,-0.623234
0,-0.618021,0.8,0.4,-0.575947
0,0,0.8,0.6,0
0,-0.406216,0.8,0.8,0
0,-0.487332,0.8,1,0
0,-0.458664,1,-1,-0.582827
0,-0.771337,1,-0.8,-0.84548
0,-0.735656,1,-0.6,-0.790645
0,-0.714309,1,-0.4,-0.759807
0,-0.690697,1,-0.2,-0.713602
0,-0.790564,1,0,-0.794361
0,-0.640219,1,0.2,-0.581171
0,-0.592236,1,0.4,-0.513199
0,-0.57694,1,0.6,-0.483406
0,-0.561171,1,0.8,0
0,-0.498282,1,1,0
0,0,0,-1,0
0,-0.496569,0,-0.8,-0.460007
0,-0.464326,0,-0.6,-0.459154
0,-0.485596,0,-0.4,-0.485776
0,-0.491918,0,-0.2,-0.488751
0,-0.496873,0,0,-0.497309
0,-0.498878,0,0.2,-0.500421
0,-0.501198,0,0.4,-0.50149
0,-0.514972,0,0.6,-0.518533
0,-0.507585,0,0.8,-0.50754
0,-0.506192,0,1,-0.51003
0,-0.50719,0.2,-1,-0.538589
0,-0.536453,0.2,-0.8,-0.557312
0,-0.522891,0.2,-0.6,-0.537476
0,-0.515904,0.2,-0.4,-0.551089
0,-0.510712,0.2,-0.2,-0.542942
0,-0.525144,0.2,0,-0.526032
0,-0.500253,0.2,0.2,-0.490806
0,-0.484824,0.2,0.4,-0.461466
0,-0.48016,0.2,0.6,-0.450226
0,-0.475377,0.2,0.8,-0.448643
0,-0.474392,0.2,1,-0.440666
0,-0.462052,0.4,-1,-0.815647
0,-0.77272,0.4,-0.8,-0.884217
0,-0.608171,0.4,-0.6,-0.662565
0,-0.545985,0.4,-0.4,-0.574484
0,-0.526403,0.4,-0.2,-0.563088
0,-0.511205,0.4,0,-0.513472
0,-0.498968,0.4,0.2,-0.483258
0,-0.48161,0.4,0.4,-0.458395
0,0,0.4,0.6,0
0,0,0.4,0.8,0
0,-0.429839,0.4,1,0
0,-0.425054,0.6,-1,-0.50859
0,-0.588162,0.6,-0.8,-0.769967
0,-0.571331,0.6,-0.6,-0.705904
0,-0.547583,0.6,-0.4,-0.651166
0,-0.53556,0.6,-0.2,-0.650065
0,-0.595734,0.6,0,-0.598583
0,-0.498334,0.6,0.2,-0.462134
0,-0.465513,0.6,0.4,-0.417793
0,-0.456011,0.6,0.6,0
0,-0.44427,0.6,0.8,0
0,0,0.6,1,0
0,0,0.8,-1,-0.511519
0,-0.996357,0.8,-0.8,-0.696791
0,-0.859716,0.8,-0.6,-0.964137
0,-0.685936,0.8,-0.4,-0.76835
0,-0.584839,0.8,-0.2,-0.61759
0,-0.528967,0.8,0,-0.530378
0,-0.499132,0.8,0.2,-0.430024
0,-0.477277,0.8,0.4,0
0,0,0.8,0.6,0
0,0,0.8,0.8,0
0,0,0.8,1,0
0,0,1,-1,-0.474251
0,-0.610844,1,-0.8,-0.896886
0,-0.648946,1,-0.6,-0.72757
0,-0.591264,1,-0.4,-0.645157
0,-0.822784,1,-0.2,-0.899624
0,-0.580311,1,0,-0.582832
0,-0.498581,1,0.2,-0.461923
0,-0.461182,1,0.4,-0.395191
0,-0.442059,1,0.6,0
0,-0.424272,1,0.8,0
0,0,1,1,0
0,0,0,-1,0
0,0,0,-0.8,0
0,0,0,-0.6,0
0,0,0,-0.4,0
0,0,0,-0.2,0
0,0,0,0,0
0,0,0,0.2,0
0,0,0,0.4,0
0,0,0,0.6,0
0,0,0,0.8,0
0,0,0,1,0
0,0,0.2,-1,0
0,0,0.2,-0.8,0
0,0,0.2,-0.6,0
0,-0.498555,0.2,-0.4,-0.564698
0,0,0.2,-0.2,0
0,0,0.2,0,0
0,0,0.2,0.2,0
0,0,0.2,0.4,0
0,0,0.2,0.6,0
0,0,0.2,0.8,0
0,0,0.2,1,0
0,0,0.4,-1,0
0,-0.468644,0.4,-0.8,-0.545075
0,0,0.4,-0.6,-0.443613
0,0,0.4,-0.4,-0.457397
0,0,0.4,-0.2,0
0,0,0.4,0,0
0,0,0.4,0.2,0
0,0,0.4,0.4,0
0,0,0.4,0.6,0
0,0,0.4,0.8,0
0,0,0.4,1,0
0,0,0.6,-1,-0.542552
0,-0.449937,0.6,-0.8,-0.518795
0,-0.787648,0.6,-0.6,-0.926305
0,-0.508437,0.6,-0.4,-0.582353
0,0,0.6,-0.2,-0.434983
0,0,0.6,0,0
0,0,0.6,0.2,0
0,0,0.6,0.4,0
0,0,0.6,0.6,0
0,0,0.6,0.8,0
0,0,0.6,1,0
0,0,0.8,-1,0
0,-0.53468,0.8,-0.8,-0.639353
0,-0.447087,0.8,-0.6,-0.672917
0,-0.423795,0.8,-0.4,-0.609961
0,0,0.8,-0.2,-0.43361
0,0,0.8,0,-0.367419
0,0,0.8,0.2,0
0,0,0.8,0.4,0
0,0,0.8,0.6,0
0,0,0.8,0.8,0
0,0,0.8,1,0
0,0,1,-1,-0.606226
0,-0.507472,1,-0.8,-0.617303
0,-0.456808,1,-0.6,-0.898448
0,-0.795983,1,-0.4,-0.914901
0,-0.480474,1,-0.2,-0.530363
0,0,1,0,0
0,0,1,0.2,0
0,0,1,0.4,0
0,0,1,0.6,0
0,0,1,0.8,0.515174
0,0,1,1,0.802203
0,0,0,-1,0
0,0,0,-0.8,0
0,0,0,-0.6,0
0,0,0,-0.4,0
0,0,0,-0.2,0
0,0,0,0,0
0,0,0,0.2,0
0,0,0,0.4,0
0,0,0,0.6,0
0,0,0,0.8,0
0,0,0,1,0
0,0,0.2,-1,0
0,0,0.2,-0.8,-0.42444
0,0,0.2,-0.6,-0.425764
0,0,0.2,-0.4,0
0,0,0.2,-0.2,0
0,0,0.2,0,0
0,0,0.2,0.2,0
0,0,0.2,0.4,0
0,0,0.2,0.6,0
0,0,0.2,0.8,0
0,0,0.2,1,0
0,0,0.4,-1,0
0,0,0.4,-0.8,0
0,0,0.4,-0.6,0
0,0,0.4,-0.4,0
0,0,0.4,-0.2,0
0,0,0.4,0,0
0,0,0.4,0.2,0
0,0,0.4,0.4,0
0,0,0.4,0.6,0
0,0,0.4,0.8,0
0,0,0.4,1,0
0,0,0.6,-1,0
0,0,0.6,-0.8,-0.943114
0,-0.56783,0.6,-0.6,-0.775854
0,0,0.6,-0.4,-0.42909
0,0,0.6,-0.2,0
0,0,0.6,0,0
0,0,0.6,0.2,0
0,0,0.6,0.4,0
0,0,0.6,0.6,0
0,0,0.6,0.8,0.606865
0,0,0.6,1,0
0,0,0.8,-1,0
