@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute varObjetivo numeric

@data
-0.968124,0.5,-0.4,-0.927987
-0.927987,0.5,-0.3,-0.916027
-0.916027,0.5,-0.2,-0.896748
-0.896748,0.5,-0.1,-0.881086
-0.881086,0.5,0,-0.864003
-0.864003,0.5,0.1,-0.851662
-0.851662,0.5,0.2,-0.800519
-0.800519,0.5,0.3,-0.816633
-0.816633,0.5,0.4,-0.777344
-0.777344,0.5,0.5,-0.762986
-0.762986,0.5,0.6,-0.690033
-0.690033,0.5,0.7,-0.633528
-0.633528,0.5,0.8,-0.634866
-0.634866,0.5,0.9,-0.620143
-0.620143,0.6,-1,-0.998881
-0.998881,0.6,-0.9,-0.987318
-0.987318,0.6,-0.8,-0.975789
-0.975789,0.6,-0.7,-0.964467
-0.964467,0.6,-0.6,-0.98454
-0.98454,0.6,-0.5,-0.945935
-0.945935,0.6,-0.4,-0.941058
-0.941058,0.6,-0.3,-0.921856
-0.921856,0.6,-0.2,-0.91579
-0.91579,0.6,-0.1,-0.891038
-0.891038,0.6,0,-0.867976
-0.867976,0.6,0.1,-0.842753
-0.842753,0.6,0.2,-0.808905
-0.808905,0.6,0.3,-0.809894
-0.809894,0.6,0.4,-0.751901
-0.751901,0.6,0.5,-0.767474
-0.767474,0.6,0.6,-0.603114
-0.603114,0.6,0.7,-0.680837
-0.680837,0.6,0.8,-0.685075
-0.685075,0.6,0.9,-0.571145
-0.571145,0.7,-1,-0.989729
-0.989729,0.7,-0.9,-0.996266
-0.996266,0.7,-0.8,-0.995811
-0.995811,0.7,-0.7,-0.996678
-0.996678,0.7,-0.6,-0.996767
-0.996767,0.7,-0.5,-0.95273
-0.95273,0.7,-0.4,-0.964682
-0.964682,0.7,-0.3,-0.922985
-0.922985,0.7,-0.2,-0.927746
-0.927746,0.7,-0.1,-0.890657
-0.890657,0.7,0,-0.867156
-0.867156,0.7,0.1,-0.829103
-0.829103,0.7,0.2,-0.822412
-0.822412,0.7,0.3,-0.789835
-0.789835,0.7,0.4,-0.738725
-0.738725,0.7,0.5,-0.713147
-0.713147,0.7,0.6,-0.687203
-0.687203,0.7,0.7,-0.585081
-0.585081,0.7,0.8,-0.564609
-0.564609,0.7,0.9,-0.601383
-0.601383,0.8,-1,-0.999445
-0.999445,0.8,-0.9,-0.974967
-0.974967,0.8,-0.8,-0.955256
-0.955256,0.8,-0.7,-0.986849
-0.986849,0.8,-0.6,-0.996533
-0.996533,0.8,-0.5,-0.974141
-0.974141,0.8,-0.4,-0.969505
-0.969505,0.8,-0.3,-0.932911
-0.932911,0.8,-0.2,-0.914216
-0.914216,0.8,-0.1,-0.89443
-0.89443,0.8,0,-0.867568
-0.867568,0.8,0.1,-0.840278
-0.840278,0.8,0.2,-0.795319
-0.795319,0.8,0.3,-0.755001
