@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute varObjetivo numeric
@attribute speed numeric
@attribute distance numeric

@data
-0.869065,-0.7,-0.945941,0,?
-0.868821,-0.6,-0.939166,0,?
-0.868128,-0.5,-0.961949,0,?
-0.867418,-0.4,-0.934326,0,?
-0.865944,-0.3,-0.9127,0,?
-0.865632,-0.2,-0.896882,0,?
-0.865505,-0.1,-0.878258,0,?
-0.865533,0,-0.862783,0,?
-0.863316,0.1,-0.851349,0,?
-0.863467,0.2,-0.829103,0,?
-0.863312,0.3,-0.814349,0,?
-0.863409,0.4,-0.805076,0,?
-0.861277,0.5,-0.687909,0,?
-0.863128,0.6,-0.782894,0,?
-0.860868,0.7,-0.720618,0,?
-0.859609,0.8,-0.727898,0,?
-0.858638,0.9,-0.708122,0,?
-0.848477,-1,-0.995112,0,?
-0.86505,-0.9,-0.946297,0,?
-0.861646,-0.8,-0.969707,0,?
-0.862531,-0.7,-0.944894,0,?
-0.860657,-0.6,-0.92613,0,?
-0.858351,-0.5,-0.961129,0,?
-0.858219,-0.4,-0.927549,0,?
-0.857669,-0.3,-0.899673,0,?
-0.858049,-0.2,-0.890226,0,?
-0.856438,-0.1,-0.868868,0,?
-0.855893,0,-0.853601,0,?
-0.854586,0.1,-0.841206,0,?
-0.854919,0.2,-0.818463,0,?
-0.854617,0.3,-0.808331,0,?
-0.853055,0.4,-0.792149,0,?
-0.853537,0.5,-0.694091,0,?
-0.851887,0.6,-0.780713,0,?
-0.851942,0.7,-0.726651,0,?
-0.85202,0.8,-0.753601,0,?
-0.846689,0.9,-0.669349,0,?
-0.838665,-1,-0.996541,0,?
-0.854819,-0.9,-0.947036,0,?
-0.853484,-0.8,-0.968116,0,?
-0.852428,-0.7,-0.937084,0,?
-0.849643,-0.6,-0.92358,0,?
-0.849019,-0.5,-0.950063,0,?
-0.849968,-0.4,-0.88923,0,?
-0.84922,-0.3,-0.890621,0,?
-0.848202,-0.2,-0.877463,0,?
-0.848686,-0.1,-0.863679,0,?
-0.847745,0,-0.846656,0,?
-0.844947,0.1,-0.831631,0,?
-0.845568,0.2,-0.807428,0,?
-0.845207,0.3,-0.794917,0,?
-0.844571,0.4,-0.782386,0,?
-0.844432,0.5,-0.770627,0,?
-0.843522,0.6,-0.694047,0,?
-0.840812,0.7,-0.753216,0,?
-0.841213,0.8,-0.688277,0,?
-0.841674,0.9,-0.697712,0,?
-0.829434,-1,-0.940861,0,?
-0.844997,-0.9,-0.941769,0,?
-0.842886,-0.8,-0.930586,0,?
-0.842037,-0.7,-0.912049,0,?
-0.842538,-0.6,-0.922018,0,?
-0.840415,-0.5,-0.913492,0,?
-0.839579,-0.4,-0.896228,0,?
-0.839443,-0.3,-0.892139,0,?
-0.837757,-0.2,-0.86,0,?
-0.839191,-0.1,-0.855752,0,?
-0.837574,0,-0.83621,0,?
-0.83547,0.1,-0.818469,0,?
-0.836547,0.2,-0.806531,0,?
-0.834754,0.3,-0.787731,0,?
